text_clean,label
disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus elo basic elo cowok bego,1
rt user user siapa telat ngasih tau eluedan sarap gue bergaul cigax jifla calis sama siapa noh licew,1
kadang aku berfikir aku tetap percaya tuhan padahal aku selalu jatuh berkalikali kadang aku merasa tuhan ninggalkan aku sendirian orangtuaku berencana berpisah kakakku lebih memilih jadi kristen aku anak ter,0
user user aku akunnku tau matamu sipit diliat mana aku,0
user user kaum cebong kapir udah keliatan dongoknya awal tambah dongok hahahah,1
user bani taplak dkk xfxfxxxfxfxxxfxfxx,1
deklarasi pilkada aman anti hoax warga dukuh sari jabon,0
gue baru aja kelar rewatch aldnoah zero paling kampret emang endingnya karakter utama cowonya kena friendzone bray xd url,1
nah admin belanja satu port terbaik nak makan ais kepal milo ais kepal horlicks cendol toping kaw kaw doket mano tu gerai rojak mertuaku taipan depan twins baby amp romantika bank islam senawang,0
user enak lg klo smbil ngewe,1
gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu xfxfxxf,1
user user user user banci kaleng malu ga jawab pertanyaan dari hari lalu nyungsep koe user url,1
kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi user,0
aktor huruhara prabowo s lengserkan pemerintahan jokowi nyata,1
user bu guru enakan jadi jablay guru esde sihnkayaknya menikmati jadi pecun guru,1
user user user user user user lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi itu sahih kafir kyk loe menolak makanya loe ahlunnar,1
belakangan kok fikiran ampas banget,0
ari sarua beki mah repeh monyetxfxfxxxfxfxx,1
jadi cowo harus gantle kalo ga gantle namanya banci,1
user slga mnr bom xfxfxx,0
asw tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin,1
user kalo kamu noob peluang disakitin nya lebih gede si,0
user joko widodo dinilai presiden terlemah sejarah indonesia ini terjadi bukan jokowi memiliki modal dukungan politik cukup juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g,0
pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada damai,0
bandara udara internasional kertajati dibangun gubernur ahmad heryawan gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan,0
siapapun gubernur presidennya rakyatnya kita,0
si user kerjaannya delay mulu setan,1
menurutku pintu sorga yaitu pintu sorga asli pintu hatimu modusbanget,0
rt user user user pki muncul jelang pemilihan kepala daerah pemilihan presiden krn digoreng gosong,1
user user mah sdh neneknenek sy heran sama cebong biasay bohong terus,1
user user user user user user user user user islam nusantara produk jil dipasarkan dg gencar antekxcxb jilnnsementara jil anti arab pro asengnnkata alm kh hasyim muzadi,1
habis sahur sampe jam sibayik udah nete x skg rasanya lemas tak terkira xfxfxaxa,0
user gak kak emak mah gak demen ama sipit wkwk,0
